path,cwnd,free,timestamp
10.1.1.2:4242,11680,10610,1621714772318587791
10.1.1.2:4242,11680,11680,1621714772370198208
10.1.1.2:4242,11680,11680,1621714772370329881
10.1.1.2:4242,11680,10608,1621714772370714561
10.1.1.2:4242,11680,11680,1621714772421496761
10.1.1.2:4242,11680,11680,1621714772428082583
10.1.1.2:4242,11680,10608,1621714772428821782
10.1.1.2:4242,11680,11680,1621714772479749720
10.1.1.2:4242,11680,11680,1621714772480494344
10.1.1.2:4242,11680,11655,1621714772480896251
10.1.1.2:4242,11680,11655,1621714772480950542
10.1.1.2:4242,11680,10305,1621714772481751270
10.1.1.2:4242,11680,10305,1621714772481833475
10.1.1.2:4242,11680,8955,1621714772481905254
10.1.1.2:4242,11680,8955,1621714772481962663
10.1.1.2:4242,11680,7605,1621714772482022495
10.1.1.2:4242,11680,7605,1621714772482085597
10.1.1.2:4242,11680,6255,1621714772482143314
10.1.1.2:4242,11680,6255,1621714772482200871
10.1.1.2:4242,11680,4905,1621714772482280804
10.1.1.2:4242,11680,4905,1621714772482358056
10.1.1.2:4242,11680,3555,1621714772482429149
10.1.1.2:4242,11680,3555,1621714772482501024
10.1.1.2:4242,11680,2205,1621714772482562321
10.1.1.2:4242,11680,2205,1621714772482623520
10.1.1.2:4242,11680,855,1621714772482685720
10.1.1.2:4242,11680,855,1621714772482743850
10.1.1.2:4242,11680,0,1621714772482804806
10.1.1.2:4242,11680,0,1621714772482866913
10.1.1.2:4242,14600,2450,1621714772512717176
10.1.1.2:4242,14600,1100,1621714772512786191
10.1.1.2:4242,14600,0,1621714772512866253
10.1.1.2:4242,16060,1210,1621714772512983888
10.1.1.2:4242,16060,0,1621714772513073001
10.1.1.2:4242,17520,1320,1621714772513158581
10.1.1.2:4242,17520,0,1621714772513223283
10.1.1.2:4242,18980,1430,1621714772513526978
10.1.1.2:4242,18980,80,1621714772513592249
10.1.1.2:4242,18980,0,1621714772513657114
10.1.1.2:4242,20440,190,1621714772513837927
10.1.1.2:4242,20440,0,1621714772513908762
10.1.1.2:4242,21900,300,1621714772514003809
10.1.1.2:4242,21900,0,1621714772514083541
10.1.1.2:4242,23360,410,1621714772514176343
10.1.1.2:4242,23360,0,1621714772514241912
10.1.1.2:4242,24820,520,1621714772514317015
10.1.1.2:4242,24820,0,1621714772514368636
10.1.1.2:4242,13140,990,1621714772531648655
10.1.1.2:4242,29200,8156,1621714772544345729
10.1.1.2:4242,33580,24686,1621714772546754101
10.1.1.2:4242,11680,10330,1621714773957330964
10.1.1.2:4242,11680,8980,1621714773957407762
10.1.1.2:4242,11680,7630,1621714773957481335
10.1.1.2:4242,11680,6280,1621714773957554626
10.1.1.2:4242,11680,4930,1621714773957616565
10.1.1.2:4242,11680,3580,1621714773957681458
10.1.1.2:4242,11680,2230,1621714773957748409
10.1.1.2:4242,11680,880,1621714773957809287
10.1.1.2:4242,11680,0,1621714773957871657
10.1.1.2:4242,11680,10330,1621714773957928099
10.1.1.2:4242,11680,8980,1621714773957988238
10.1.1.2:4242,11680,7630,1621714773958044432
10.1.1.2:4242,11680,6280,1621714773958098716
10.1.1.2:4242,11680,4930,1621714773958157048
10.1.1.2:4242,11680,3580,1621714773958217390
10.1.1.2:4242,11680,2230,1621714773958273479
10.1.1.2:4242,11680,880,1621714773958331656
10.1.1.2:4242,11680,0,1621714773958391587
10.1.1.2:4242,13140,990,1621714773988937555
10.1.1.2:4242,13140,0,1621714773989018003
10.1.1.2:4242,14600,1100,1621714773989170523
10.1.1.2:4242,14600,0,1621714773989253336
10.1.1.2:4242,16060,1210,1621714773989347693
10.1.1.2:4242,16060,0,1621714773989418165
10.1.1.2:4242,17520,1320,1621714773989504267
10.1.1.2:4242,17520,0,1621714773989571966
10.1.1.2:4242,18980,1430,1621714773990334524
10.1.1.2:4242,18980,80,1621714773990399655
10.1.1.2:4242,18980,0,1621714773990459667
10.1.1.2:4242,20440,190,1621714773990538646
10.1.1.2:4242,20440,0,1621714773990596337
10.1.1.2:4242,21900,300,1621714773990679165
10.1.1.2:4242,21900,0,1621714773990741444
10.1.1.2:4242,23360,410,1621714773990821367
10.1.1.2:4242,23360,0,1621714773990887509
10.1.1.2:4242,24820,520,1621714773990966299
10.1.1.2:4242,24820,0,1621714773991028623
10.1.1.2:4242,13140,990,1621714774009316463
10.1.1.2:4242,13140,0,1621714774009384250
10.1.1.2:4242,14600,1100,1621714774009543116
10.1.1.2:4242,14600,0,1621714774009632636
10.1.1.2:4242,16060,1210,1621714774010090284
10.1.1.2:4242,16060,0,1621714774010169009
10.1.1.2:4242,17520,1320,1621714774010262203
10.1.1.2:4242,17520,0,1621714774010321517
10.1.1.2:4242,18980,1430,1621714774010403476
10.1.1.2:4242,18980,80,1621714774010469283
10.1.1.2:4242,18980,0,1621714774010537693
10.1.1.2:4242,20440,190,1621714774010630182
10.1.1.2:4242,20440,0,1621714774010697286
10.1.1.2:4242,21900,300,1621714774010781430
10.1.1.2:4242,21900,0,1621714774010844093
10.1.1.2:4242,23360,410,1621714774010917535
10.1.1.2:4242,23360,0,1621714774010978477
10.1.1.2:4242,24820,520,1621714774011050692
10.1.1.2:4242,24820,0,1621714774011125161
10.1.1.2:4242,26280,630,1621714774019731794
10.1.1.2:4242,26280,0,1621714774019796197
10.1.1.2:4242,27740,740,1621714774020475201
10.1.1.2:4242,27740,0,1621714774020553193
10.1.1.2:4242,29200,850,1621714774020638365
10.1.1.2:4242,29200,0,1621714774020697705
10.1.1.2:4242,29200,0,1621714774020748968
10.1.1.2:4242,30660,960,1621714774020827648
10.1.1.2:4242,30660,0,1621714774020903376
10.1.1.2:4242,32120,1070,1621714774020997247
10.1.1.2:4242,32120,0,1621714774021080836
10.1.1.2:4242,33580,1180,1621714774021179160
10.1.1.2:4242,33580,0,1621714774021249218
10.1.1.2:4242,35040,1290,1621714774021340249
10.1.1.2:4242,35040,0,1621714774021403192
