path,cwnd,free,timestamp
10.1.2.2:48107,11680,11680,1621714772344756232
10.1.2.2:48107,11680,11437,1621714772344938581
10.1.2.2:48107,11680,11680,1621714772395654167
10.1.2.2:48107,11680,11680,1621714772396180583
10.1.2.2:48107,11680,10543,1621714772402518046
10.1.2.2:48107,11680,11680,1621714772453496223
10.1.2.2:48107,11680,11680,1621714772454394369
10.1.2.2:48107,11680,11444,1621714772454941131
10.1.3.2:60706,11680,11680,1621714772496309409
10.1.3.2:60706,11680,11621,1621714772497470024
10.1.3.2:60706,11680,11621,1621714772497794293
10.1.3.2:60706,11680,11621,1621714772497888034
10.1.3.2:60706,11680,11621,1621714772498284797
10.1.3.2:60706,11680,11621,1621714772498597171
10.1.3.2:60706,11680,11621,1621714772498710824
10.1.3.2:60706,11680,11621,1621714772498826934
10.1.3.2:60706,11680,11621,1621714772498917299
10.1.3.2:60706,11680,11621,1621714772499001519
10.1.2.2:55621,11680,11680,1621714772506372524
10.1.2.2:55621,11680,11680,1621714772507426472
10.1.2.2:55621,11680,11680,1621714772508199410
10.1.2.2:55621,11680,11680,1621714772508471671
10.1.2.2:55621,11680,11680,1621714772508556223
10.1.2.2:55621,11680,11680,1621714772508645519
10.1.2.2:55621,11680,11680,1621714772508725359
10.1.2.2:55621,11680,11680,1621714772508800449
10.1.2.2:55621,11680,11680,1621714772508877892
10.1.2.2:55621,11680,11680,1621714772508956505
10.1.3.2:60706,11680,11680,1621714772528348312
10.1.3.2:60706,11680,11680,1621714772529160437
10.1.3.2:60706,11680,11680,1621714772529763809
10.1.3.2:60706,11680,11680,1621714772529946775
10.1.3.2:60706,11680,11680,1621714772530063853
10.1.3.2:60706,11680,11680,1621714772530471531
10.1.3.2:60706,11680,11680,1621714772530597014
10.1.3.2:60706,11680,11680,1621714772530726444
10.1.3.2:60706,11680,11680,1621714772530826112
10.1.3.2:60706,11680,11680,1621714772531217376
10.1.3.2:60706,11680,11680,1621714772531521457
10.1.3.2:60706,11680,11655,1621714772531556530
10.1.3.2:60706,11680,11655,1621714772531675303
10.1.3.2:60706,11680,11655,1621714772531848204
10.1.3.2:60706,11680,11655,1621714772531934541
10.1.3.2:60706,11680,11655,1621714772532018160
10.1.3.2:60706,11680,11655,1621714772532106560
10.1.3.2:60706,11680,11655,1621714772532552000
10.1.3.2:60706,11680,11655,1621714772533117368
10.1.3.2:60706,11680,11680,1621714773973635768
10.1.3.2:60706,11680,11680,1621714773973904810
10.1.3.2:60706,11680,11680,1621714773974024813
10.1.3.2:60706,11680,11680,1621714773974123897
10.1.3.2:60706,11680,11680,1621714773975003304
10.1.3.2:60706,11680,11680,1621714773975115569
10.1.3.2:60706,11680,11680,1621714773975217286
10.1.3.2:60706,11680,11680,1621714773975317056
10.1.3.2:60706,11680,11680,1621714773975431732
10.1.2.2:55621,11680,11680,1621714773984110775
10.1.2.2:55621,11680,11680,1621714773984335585
10.1.2.2:55621,11680,11680,1621714773984848723
10.1.2.2:55621,11680,11680,1621714773984951969
10.1.2.2:55621,11680,11680,1621714773985047798
10.1.2.2:55621,11680,11680,1621714773985139548
10.1.2.2:55621,11680,11680,1621714773985228815
10.1.2.2:55621,11680,11680,1621714773985316740
10.1.2.2:55621,11680,11680,1621714773985476344
10.1.3.2:60706,11680,11680,1621714774004511121
10.1.3.2:60706,11680,11680,1621714774005222388
10.1.3.2:60706,11680,11680,1621714774005359482
10.1.3.2:60706,11680,11655,1621714774005400752
10.1.3.2:60706,11680,11655,1621714774005606211
10.1.3.2:60706,11680,11655,1621714774005702992
10.1.3.2:60706,11680,11655,1621714774005787784
10.1.3.2:60706,11680,11655,1621714774005869221
10.1.3.2:60706,11680,11655,1621714774005951716
10.1.3.2:60706,11680,11655,1621714774006036510
10.1.3.2:60706,11680,11655,1621714774006625799
10.1.3.2:60706,11680,11655,1621714774007132717
10.1.3.2:60706,11680,11655,1621714774007731793
10.1.3.2:60706,11680,11655,1621714774007856333
10.1.3.2:60706,11680,11655,1621714774007972311
10.1.3.2:60706,11680,11655,1621714774008181981
10.1.3.2:60706,11680,11655,1621714774008287542
10.1.3.2:60706,11680,11655,1621714774008389564
10.1.3.2:60706,11680,11655,1621714774008483870
10.1.3.2:60706,11680,11655,1621714774009061063
10.1.2.2:55621,11680,11680,1621714774034971018
